count	distance	tp
500	5.45672814580378e-06	-500	acceptor
501	5.45672814580378e-06	-499	acceptor
502	1.63701844374113e-05	-498	acceptor
503	1.63701844374113e-05	-497	acceptor
504	1.63701844374113e-05	-496	acceptor
505	1.63701844374113e-05	-495	acceptor
506	1.63701844374113e-05	-494	acceptor
507	1.09134562916076e-05	-493	acceptor
508	1.09134562916076e-05	-492	acceptor
509	5.45672814580378e-06	-491	acceptor
510	1.09134562916076e-05	-490	acceptor
511	1.09134562916076e-05	-489	acceptor
512	1.09134562916076e-05	-488	acceptor
513	1.09134562916076e-05	-487	acceptor
514	2.18269125832151e-05	-486	acceptor
515	2.18269125832151e-05	-485	acceptor
516	1.63701844374113e-05	-484	acceptor
517	1.09134562916076e-05	-483	acceptor
518	1.09134562916076e-05	-482	acceptor
519	1.63701844374113e-05	-481	acceptor
520	2.72836407290189e-05	-480	acceptor
521	2.72836407290189e-05	-479	acceptor
522	2.72836407290189e-05	-478	acceptor
523	3.27403688748227e-05	-477	acceptor
524	3.27403688748227e-05	-476	acceptor
525	3.81970970206264e-05	-475	acceptor
526	3.81970970206264e-05	-474	acceptor
527	3.27403688748227e-05	-473	acceptor
528	2.18269125832151e-05	-472	acceptor
529	2.72836407290189e-05	-471	acceptor
530	2.72836407290189e-05	-470	acceptor
531	2.72836407290189e-05	-469	acceptor
532	2.72836407290189e-05	-468	acceptor
533	2.18269125832151e-05	-467	acceptor
534	3.27403688748227e-05	-466	acceptor
535	3.81970970206264e-05	-465	acceptor
536	3.27403688748227e-05	-464	acceptor
537	3.27403688748227e-05	-463	acceptor
538	3.27403688748227e-05	-462	acceptor
539	2.72836407290189e-05	-461	acceptor
540	3.27403688748227e-05	-460	acceptor
541	2.18269125832151e-05	-459	acceptor
542	1.63701844374113e-05	-458	acceptor
543	2.72836407290189e-05	-457	acceptor
544	2.72836407290189e-05	-456	acceptor
545	2.72836407290189e-05	-455	acceptor
546	2.72836407290189e-05	-454	acceptor
547	3.81970970206264e-05	-453	acceptor
548	3.27403688748227e-05	-452	acceptor
549	3.27403688748227e-05	-451	acceptor
550	2.18269125832151e-05	-450	acceptor
551	2.18269125832151e-05	-449	acceptor
552	2.72836407290189e-05	-448	acceptor
553	3.81970970206264e-05	-447	acceptor
554	2.18269125832151e-05	-446	acceptor
555	4.36538251664302e-05	-445	acceptor
556	4.9110553312234e-05	-444	acceptor
557	4.9110553312234e-05	-443	acceptor
558	4.36538251664302e-05	-442	acceptor
559	4.36538251664302e-05	-441	acceptor
560	3.81970970206264e-05	-440	acceptor
561	4.9110553312234e-05	-439	acceptor
562	3.27403688748227e-05	-438	acceptor
563	3.27403688748227e-05	-437	acceptor
564	4.36538251664302e-05	-436	acceptor
565	5.45672814580378e-05	-435	acceptor
566	6.00240096038415e-05	-434	acceptor
567	6.00240096038415e-05	-433	acceptor
568	4.9110553312234e-05	-432	acceptor
569	4.9110553312234e-05	-431	acceptor
570	6.54807377496453e-05	-430	acceptor
571	5.45672814580378e-05	-429	acceptor
572	4.36538251664302e-05	-428	acceptor
573	3.81970970206264e-05	-427	acceptor
574	5.45672814580378e-05	-426	acceptor
575	6.00240096038415e-05	-425	acceptor
576	5.45672814580378e-05	-424	acceptor
577	3.27403688748227e-05	-423	acceptor
578	5.45672814580378e-05	-422	acceptor
579	5.45672814580378e-05	-421	acceptor
580	6.54807377496453e-05	-420	acceptor
581	4.36538251664302e-05	-419	acceptor
582	3.81970970206264e-05	-418	acceptor
583	3.81970970206264e-05	-417	acceptor
584	4.9110553312234e-05	-416	acceptor
585	4.36538251664302e-05	-415	acceptor
586	6.00240096038415e-05	-414	acceptor
587	4.9110553312234e-05	-413	acceptor
588	6.54807377496453e-05	-412	acceptor
589	9.27643784786642e-05	-411	acceptor
590	0.000109134562916076	-410	acceptor
591	0.000103677834770272	-409	acceptor
592	0.000103677834770272	-408	acceptor
593	0.000120048019207683	-407	acceptor
594	0.000125504747353487	-406	acceptor
595	0.000114591291061879	-405	acceptor
596	8.73076503328604e-05	-404	acceptor
