count	distance	tp
500	0	-500	acceptor
501	0	-499	acceptor
502	0	-498	acceptor
503	0	-497	acceptor
504	0	-496	acceptor
505	0	-495	acceptor
506	0.000103263114415531	-494	acceptor
507	0.000103263114415531	-493	acceptor
508	0.000103263114415531	-492	acceptor
509	0.000103263114415531	-491	acceptor
510	0.000103263114415531	-490	acceptor
511	0.000103263114415531	-489	acceptor
512	0	-488	acceptor
513	0	-487	acceptor
514	0	-486	acceptor
515	0	-485	acceptor
516	0	-484	acceptor
517	0	-483	acceptor
518	0	-482	acceptor
519	0	-481	acceptor
520	0	-480	acceptor
521	0	-479	acceptor
522	0	-478	acceptor
523	0	-477	acceptor
524	0	-476	acceptor
525	0	-475	acceptor
526	0	-474	acceptor
527	0	-473	acceptor
528	0	-472	acceptor
529	0	-471	acceptor
530	0	-470	acceptor
531	0	-469	acceptor
532	0	-468	acceptor
533	0	-467	acceptor
534	0	-466	acceptor
535	0	-465	acceptor
536	0	-464	acceptor
537	0	-463	acceptor
538	0	-462	acceptor
539	0	-461	acceptor
540	0	-460	acceptor
541	0	-459	acceptor
542	0	-458	acceptor
543	0	-457	acceptor
544	0	-456	acceptor
545	0	-455	acceptor
546	0	-454	acceptor
547	0	-453	acceptor
548	0	-452	acceptor
549	0	-451	acceptor
550	0	-450	acceptor
551	0	-449	acceptor
552	0	-448	acceptor
553	0	-447	acceptor
554	0	-446	acceptor
555	0	-445	acceptor
556	0	-444	acceptor
557	0	-443	acceptor
558	0	-442	acceptor
559	0	-441	acceptor
560	0	-440	acceptor
561	0.000103263114415531	-439	acceptor
562	0.000103263114415531	-438	acceptor
563	0.000103263114415531	-437	acceptor
564	0.000103263114415531	-436	acceptor
565	0.000103263114415531	-435	acceptor
566	0.000103263114415531	-434	acceptor
567	0.000103263114415531	-433	acceptor
568	0.000103263114415531	-432	acceptor
569	0.000103263114415531	-431	acceptor
570	0.000103263114415531	-430	acceptor
571	0.000103263114415531	-429	acceptor
572	0.000103263114415531	-428	acceptor
573	0	-427	acceptor
574	0	-426	acceptor
575	0	-425	acceptor
576	0	-424	acceptor
577	0	-423	acceptor
578	0	-422	acceptor
579	0.000206526228831062	-421	acceptor
580	0.000309789343246592	-420	acceptor
581	0.000309789343246592	-419	acceptor
582	0.000309789343246592	-418	acceptor
583	0.000309789343246592	-417	acceptor
584	0.000309789343246592	-416	acceptor
585	0.000206526228831062	-415	acceptor
586	0.000103263114415531	-414	acceptor
587	0.000103263114415531	-413	acceptor
588	0.000103263114415531	-412	acceptor
589	0.000103263114415531	-411	acceptor
590	0.000103263114415531	-410	acceptor
591	0	-409	acceptor
592	0.000103263114415531	-408	acceptor
593	0.000103263114415531	-407	acceptor
594	0.000206526228831062	-406	acceptor
595	0.000206526228831062	-405	acceptor
596	0.000309789343246592	-404	acceptor
597	0.000309789343246592	-403	acceptor
598	0.000206526228831062	-402	acceptor
599	0.000206526228831062	-401	acceptor
600	0.000206526228831062	-400	acceptor
601	0.000206526228831062	-399	acceptor
602	0.000103263114415531	-398	acceptor
603	0.000103263114415531	-397	acceptor
604	0.000103263114415531	-396	acceptor
605	0.000103263114415531	-395	acceptor
606	0	-394	acceptor
607	0	-393	acceptor
608	0	-392	acceptor
609	0	-391	acceptor
610	0	-390	acceptor
611	0.000103263114415531	-389	acceptor
612	0.000206526228831062	-388	acceptor
613	0.000206526228831062	-387	acceptor
614	0.000206526228831062	-386	acceptor
615	0.000206526228831062	-385	acceptor
616	0.000206526228831062	-384	acceptor
617	0.000103263114415531	-383	acceptor
618	0.000103263114415531	-382	acceptor
619	0.000103263114415531	-381	acceptor
620	0.000206526228831062	-380	acceptor
621	0.000206526228831062	-379	acceptor
622	0.000206526228831062	-378	acceptor
623	0.000206526228831062	-377	acceptor
624	0.000103263114415531	-376	acceptor
625	0.000103263114415531	-375	acceptor
626	0	-374	acceptor
627	0	-373	acceptor
628	0	-372	acceptor
629	0	-371	acceptor
630	0	-370	acceptor
631	0.000103263114415531	-369	acceptor
632	0.000103263114415531	-368	acceptor
633	0.000103263114415531	-367	acceptor
634	0.000206526228831062	-366	acceptor
635	0.000206526228831062	-365	acceptor
636	0.000309789343246592	-364	acceptor
637	0.000206526228831062	-363	acceptor
638	0.000206526228831062	-362	acceptor
639	0.000309789343246592	-361	acceptor
640	0.000206526228831062	-360	acceptor
641	0.000206526228831062	-359	acceptor
642	0.000103263114415531	-358	acceptor
643	0.000103263114415531	-357	acceptor
644	0.000309789343246592	-356	acceptor
645	0.000206526228831062	-355	acceptor
646	0.000206526228831062	-354	acceptor
647	0.000206526228831062	-353	acceptor
648	0.000206526228831062	-352	acceptor
649	0.000206526228831062	-351	acceptor
650	0	-350	acceptor
651	0.000103263114415531	-349	acceptor
652	0.000103263114415531	-348	acceptor
653	0.000103263114415531	-347	acceptor
654	0.000103263114415531	-346	acceptor
655	0.000206526228831062	-345	acceptor
656	0.000206526228831062	-344	acceptor
657	0.000206526228831062	-343	acceptor
658	0.000206526228831062	-342	acceptor
659	0.000309789343246592	-341	acceptor
