ENSG00000186092.7	ENSG00000186092.7.1	ENST00000641515.2	65419	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.1	ENST00000616016.5	923923	+	chr1	2
ENSG00000187634.13	ENSG00000187634.13.1	ENST00000618323.5	923923	+	chr1	2
ENSG00000187634.13	ENSG00000187634.13.2	ENST00000437963.5	925150	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.3	ENST00000342066.8	925731	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.4	ENST00000616125.5	925942	+	chr1	5
ENSG00000187634.13	ENSG00000187634.13.4	ENST00000617307.5	925942	+	chr1	5
ENSG00000187634.13	ENSG00000187634.13.4	ENST00000618181.5	925942	+	chr1	5
ENSG00000187634.13	ENSG00000187634.13.4	ENST00000618779.5	925942	+	chr1	5
ENSG00000187634.13	ENSG00000187634.13.4	ENST00000622503.5	925942	+	chr1	5
ENSG00000187634.13	ENSG00000187634.13.5	ENST00000341065.8	930312	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.6	ENST00000455979.1	939275	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.7	ENST00000478729.1	940346	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.8	ENST00000474461.1	941076	+	chr1	1
ENSG00000187634.13	ENSG00000187634.13.9	ENST00000466827.1	942103	+	chr1	2
ENSG00000187634.13	ENSG00000187634.13.9	ENST00000464948.1	942166	+	chr1	2
ENSG00000188976.11	ENSG00000188976.11.1	ENST00000487214.1	959309	-	chr1	3
ENSG00000188976.11	ENSG00000188976.11.1	ENST00000469563.1	959256	-	chr1	3
ENSG00000188976.11	ENSG00000188976.11.1	ENST00000327044.7	959256	-	chr1	3
ENSG00000188976.11	ENSG00000188976.11.2	ENST00000477976.5	958458	-	chr1	1
ENSG00000188976.11	ENSG00000188976.11.3	ENST00000483767.5	947060	-	chr1	1
ENSG00000188976.11	ENSG00000188976.11.4	ENST00000496938.1	945562	-	chr1	1
ENSG00000187961.15	ENSG00000187961.15.1	ENST00000338591.8	960584	+	chr1	1
ENSG00000187961.15	ENSG00000187961.15.2	ENST00000463212.1	961449	+	chr1	1
